@relation yeast_2vs4

@attribute Mcg numeric
@attribute Gvh numeric
@attribute Alm numeric
@attribute Mit numeric
@attribute Erl numeric
@attribute Pox numeric
@attribute Vac numeric
@attribute Nuc numeric
@attribute Class {1,0}

@data
0.410256,0.275362,0.39726,0.17,0,1,0.6,0.275,0
0.269231,0.26087,0.452055,0.15,0,0,0.75,0.375,0
0.269231,0.304348,0.410959,0.35,0,0,0.666667,0.3125,0
0.346154,0.333333,0.342466,0.11,0,0,0.616667,0.275,0
0.358974,0.26087,0.315068,0.11,0,0,0.6,0.5,0
0.333333,0.275362,0.315068,0.16,0,0,0.616667,0.275,0
0.307692,0.333333,0.287671,0.22,0,0,0.633333,0.275,0
0.692308,0.608696,0.205479,0.3,0,0,0.6,0.275,0
0.307692,0.463768,0.342466,0.13,0,0,0.7,0.275,0
0.346154,0.463768,0.342466,0.15,0,0,0.75,0.275,0
0.487179,0.376812,0.452055,0.18,0,0,0.633333,0.275,0
0.24359,0.57971,0.465753,0.12,0,0,0.666667,0.5875,0
0.269231,0.347826,0.410959,0.18,0,0,0.716667,0.325,0
0.371795,0.26087,0.328767,0.21,0,0,0.65,0.35,0
0.576923,0.550725,0.39726,0.23,0,0,0.55,0.275,0
0.576923,0.507246,0.39726,0.22,0,0,0.533333,0.275,0
0.602564,0.594203,0.30137,0.1,0,0,0.6,0.275,0
0.435897,0.333333,0.328767,0.33,0,0,0.7,0.275,0
0.24359,0.405797,0.356164,0.19,0,0,0.616667,0.275,0
0.448718,0.391304,0.232877,0.08,0,0,0.65,0.3375,0
0.525641,0.376812,0.246575,0.22,0,0,0.633333,0.3625,0
0.192308,0.362319,0.410959,0.09,0,0,0.7,0.275,0
0.371795,0.478261,0.383562,0.12,0,0,0.633333,0.275,0
0.358974,0.26087,0.438356,0.15,0,0,0.733333,0.275,0
0.294872,0.376812,0.342466,0.41,0,0,0.666667,0.4,0
0.269231,0.347826,0.39726,0.2,0,0,0.533333,0.275,0
0.384615,0.57971,0.30137,0.25,0,0,0.616667,0.35,0
0.576923,0.521739,0.410959,0.27,0,0,0.4,0.275,0
0.358974,0.449275,0.315068,0.4,0,0,0.466667,0.275,0
0.358974,0.26087,0.383562,0.24,0,0,0.566667,0.275,0
0.141026,0.507246,0.383562,0.18,0,0,0.616667,0.275,0
0.589744,0.637681,0.342466,0.16,0,0,0.783333,0.275,0
0.397436,0.623188,0.410959,0.15,0,0,0.566667,0.275,0
0.269231,0.594203,0.342466,0.31,0,0,0.6,0.3875,0
0.525641,0.42029,0.410959,0.25,0,0,0.466667,0.325,0
0.192308,0.478261,0.315068,0.21,0,0,0.683333,0.3875,0
0.128205,0.15942,0.424658,0.15,0,0,0.616667,0.375,0
0.25641,0.376812,0.39726,0.16,0,0,0.566667,0.275,0
0.307692,0.521739,0.356164,0.16,0,0,0.683333,0.275,0
0.512821,0.391304,0.315068,0.14,0,0,0.533333,0.3125,0
0.25641,0.492754,0.287671,0.31,0,0,0.683333,0.3625,0
0.320513,0.26087,0.356164,0.14,0,0,0.683333,0.55,0
0.333333,0.318841,0.328767,0.24,0,0,0.683333,0.4125,0
0.294872,0.318841,0.39726,0.1,0,0,0.6,0.275,0
0.269231,0.304348,0.60274,0.21,0,0,0.683333,0.4,0
0.269231,0.304348,0.60274,0.21,0,0,0.683333,0.4,0
0.448718,0.405797,0.30137,0.2,0,0,0.65,0.275,0
0.602564,0.347826,0.315068,0.23,0,0,0.6,0.275,0
0.025641,0.289855,0.383562,0.11,0,0,0.616667,0.3375,0
0.25641,0.275362,0.356164,0.67,0,0,0.566667,0.275,0
0.064103,0.188406,0.575342,0.18,0,0,0.65,0.275,0
0.384615,0.318841,0.328767,0.13,0,0,0.566667,0.275,0
0.448718,0.246377,0.342466,0.18,0,0,0.583333,0.275,0
0.307692,0.521739,0.356164,0.53,0,0,0.666667,0.3125,0
0.371795,0.623188,0.465753,0.23,0,0,0.783333,0.275,0
0.153846,0.492754,0.342466,0.17,0,0,0.65,0.275,0
0.166667,0.521739,0.315068,0.15,0,0,0.666667,0.275,0
0.166667,0.304348,0.342466,0.24,0,0,0.783333,0.275,0
0.512821,0.42029,0.342466,0.28,0,0,0.7,0.3125,0
0.230769,0.304348,0.328767,0.11,0,0,0.733333,0.275,0
0.320513,0.304348,0.452055,0.21,0,0,0.733333,0.275,0
0.435897,0.434783,0.260274,0.28,0,0,0.583333,0.275,0
0.205128,0.652174,0.30137,0.21,0,0,0.683333,0.3125,0
0.423077,0.275362,0.452055,0.12,0,0,0.7,0.275,0
0.487179,0.289855,0.438356,0.24,0,0,0.45,0.275,0
0.474359,0.289855,0.424658,0.21,0,0,0.483333,0.275,0
0.282051,0.434783,0.424658,0.15,0,0,0.533333,0.3375,0
0.24359,0.434783,0.657534,0.17,0,0,0.7,0.275,0
0.24359,0.434783,0.657534,0.17,0,0,0.7,0.275,0
0.333333,0.086957,0.410959,0.36,0,0,0.65,0.225,0
0.012821,0.072464,0.342466,0.14,0,0,0.666667,0.55,0
0.410256,0.463768,0.383562,0.14,0,0,0.633333,0.275,0
0.24359,0.391304,0.438356,0.22,0,0,0.55,0.275,0
0.346154,0.202899,0.356164,0.16,0,0,0.633333,0.3625,0
0.474359,0.449275,0.383562,0.19,0,0,0.683333,0.275,0
0.423077,0.478261,0.315068,0.21,0,0,0.583333,0.375,0
0.461538,0.362319,0.356164,0.11,0,0,0.65,0.6,0
0.333333,0.507246,0.369863,0.32,0,0,0.733333,0.275,0
0.333333,0.507246,0.356164,0.32,0,0,0.733333,0.275,0
0.448718,0.637681,0.30137,0.34,0,0,0.65,0.275,0
0.512821,0.536232,0.260274,0.19,0,0,0.716667,0.3375,0
0.461538,0.507246,0.246575,0.14,0,0,0.683333,0.275,0
0.166667,0.376812,0.383562,0.12,0,0,0.65,0.275,0
0.205128,0.362319,0.30137,0.15,1,0,0.7,0.4375,0
0.307692,0.434783,0.287671,0.14,0,0,0.616667,0.275,0
0.487179,0.57971,0.246575,0.26,0,0,0.616667,0.275,0
0.564103,0.594203,0.205479,0.12,0,0,0.65,0.3125,0
0.076923,0.275362,0.328767,0.18,0,0,0.616667,0.3375,0
0.474359,0.594203,0.356164,0.24,0,0,0.733333,0.275,0
0.5,0.565217,0.328767,0.24,0,0,0.666667,0.275,0
0.666667,0.550725,0.356164,0.15,0,0,0.6,0.4125,0
0.205128,0.217391,0.410959,0.17,0,0,0.65,0.275,0
0.333333,0.275362,0.39726,0.14,0,0,0.683333,0.275,0
0.358974,0.376812,0.424658,0.16,0,0,0.6,0.35,0
0.282051,0.26087,0.328767,0.52,0,0,0.6,0.275,0
0.641026,0.565217,0.315068,0.31,0,0,0.7,0.275,0
0.410256,0.536232,0.369863,0.29,0,0,0.666667,0.275,0
0.461538,0.652174,0.410959,0.32,0,0,0.733333,0.425,0
0.551282,0.536232,0.342466,0.15,0,0,0.65,0.3625,0
0.397436,0.42029,0.287671,0.17,0,0,0.566667,0.325,0
0.333333,0.304348,0.342466,0.2,0,0,0.616667,0.3125,0
0.410256,0.202899,0.260274,0.15,0,0,0.633333,0.525,0
0.294872,0.26087,0.273973,0.13,0,0,0.616667,0.3375,0
0.166667,0.246377,0.342466,0.2,0,0,0.65,0.35,0
0.512821,0.637681,0.342466,0.3,0,0,0.55,0.3875,0
0.230769,0.173913,0.315068,0.12,0,0,0.633333,0.675,0
0.333333,0.507246,0.30137,0.17,0,0,0.65,0.275,0
0.525641,0.275362,0.438356,0.18,0,0,0.583333,0.275,0
0.24359,0.376812,0.356164,0.12,0,0,0.583333,0.275,0
0.512821,0.318841,0.342466,0.19,0,0,0.7,0.3375,0
0.576923,0.463768,0.246575,0.13,0,0,0.666667,0.275,0
0.423077,0.434783,0.328767,0.12,0,0,0.633333,0.5,0
0.384615,0.318841,0.287671,0.15,0,0,0.7,0.3125,0
0.384615,0.376812,0.342466,0.16,0,0,0.666667,0.35,0
0.371795,0.26087,0.30137,0.18,0,0,0.633333,0.275,0
0.384615,0.304348,0.369863,0.17,0,0,0.616667,0.45,0
0.705128,0.463768,0.315068,0.08,0,0,0.7,0.3875,0
0.141026,0.42029,0.273973,0.11,0,0,0.55,0.275,0
0.320513,0.434783,0.287671,0.38,0,0,0.65,0.275,0
0.461538,0.289855,0.39726,0.21,0,0,0.65,0.275,0
0.269231,0.391304,0.315068,0.17,0,0,0.683333,0.625,0
0.5,0.347826,0.287671,0.24,0,0,0.65,0.4625,0
0.5,0.289855,0.328767,0.26,0,0,0.633333,0.4625,0
0.025641,0.246377,0.30137,0.16,0,0,0.633333,0.5625,0
0.371795,0.188406,0.273973,0.14,0,0,0.566667,0.325,0
0.205128,0.275362,0.356164,0.18,0,0,0.483333,0.475,0
0.435897,0.318841,0.273973,0.15,0,0,0.75,0.275,0
0.346154,0.347826,0.39726,0.16,0,0,0.716667,0.275,0
0.538462,0.478261,0.30137,0.16,0,0,0.683333,0.525,0
0.320513,0.289855,0.424658,0.2,0,0,0.733333,0.3125,0
0.538462,0.478261,0.30137,0.19,0,0,0.683333,0.5875,0
0.282051,0.130435,0.30137,0.28,0,0,0.683333,0.275,0
0.282051,0.318841,0.315068,0.28,0,0,0.616667,0.275,0
0.410256,0.318841,0.493151,0.18,0,0,0.65,0.275,0
0.397436,0.362319,0.342466,0.16,0,0,0.65,0.325,0
0.410256,0.188406,0.219178,0.18,0,0,0.583333,0.3125,0
0.307692,0.434783,0.452055,0.25,0,0,0.7,0.275,0
0.294872,0.057971,0.452055,0.14,0,0,0.533333,0.275,0
0.24359,0.405797,0.369863,1,0,0,0.616667,0.3375,0
0.102564,0.507246,0.39726,0.18,0,0,0.65,0.275,0
0.307692,0.347826,0.369863,0.14,0,0,0.616667,0.3875,0
0.410256,0.318841,0.273973,0.19,0,0,0.65,0.4625,0
0.448718,0.478261,0.30137,0.14,0,0,0.716667,0.275,0
0.397436,0.347826,0.287671,0.17,0,0,0.616667,0.325,0
0.346154,0.376812,0.260274,0.16,0,0,0.633333,0.275,0
0.25641,0.231884,0.39726,0.15,0,0,0.616667,0.3375,0
0.371795,0.434783,0.410959,0.24,0,0,0.616667,0.275,0
0.551282,0.565217,0.273973,0.16,0,0,0.666667,0.275,0
0.384615,0.333333,0.246575,0.22,0,0,0.633333,0.275,0
0.487179,0.333333,0.205479,0.2,0,0,0.683333,0.275,0
0.269231,0.376812,0.287671,0.18,0,0,0.55,0.275,0
0.192308,0.478261,0.369863,0.13,0,0,0.65,0.275,0
0.128205,0.362319,0.369863,0.27,0,0,0.6,0.275,0
0.346154,0.492754,0.465753,0.13,0,0,0.566667,0.275,0
0.487179,0.275362,0.287671,0.24,0,0,0.7,0.275,0
0.5,0.246377,0.178082,0.21,0,0,0.616667,0.275,0
0.435897,0.289855,0.315068,0.24,1,0,0.566667,0.275,0
0.307692,0.275362,0.315068,0.18,0,0,0.616667,0.35,0
0.384615,0.565217,0.383562,0.17,0,0,0.516667,0.275,0
0.230769,0.289855,0.246575,0.14,0,0,0.566667,0.275,0
0.397436,0.217391,0.356164,0.41,0,0,0.7,0.45,0
0.512821,0.536232,0.164384,0.52,0,0,0.616667,0.3875,0
0.358974,0.42029,0.383562,0.19,0,0,0.816667,0.275,0
0.205128,0.42029,0.232877,0.27,0,0,0.633333,0.275,0
0.384615,0.333333,0.328767,0.18,0,0,0.65,0.3375,0
0.128205,0.188406,0.383562,0.24,0,0,0.633333,0.275,0
0.115385,0.391304,0.39726,0.16,0,0,0.583333,0.325,0
0.641026,0.26087,0.342466,0.12,0,0,0.416667,0.4375,0
0.474359,0.391304,0.315068,0.3,0,0,0.633333,0.275,0
0.333333,0.362319,0.465753,0.2,0,0,0.816667,0.275,0
