@relation abalone9_18

@attribute Length numeric
@attribute Diameter numeric
@attribute Height numeric
@attribute Whole_weight numeric
@attribute Shucked_weight numeric
@attribute Viscera_weight numeric
@attribute Shell_weight numeric
@attribute Class {1,0}

@data
0.537634,0.565789,0.533333,0.250623,0.174741,0.218964,0.176166,0
0.419355,0.434211,0.488889,0.174711,0.141615,0.162268,0.129534,0
0.365591,0.302632,0.377778,0.116474,0.10352,0.088954,0.07772,0
0.580645,0.552632,0.533333,0.289826,0.225673,0.352884,0.165803,0
0.827957,0.842105,0.666667,0.550193,0.419048,0.641251,0.321244,1
0.16129,0.223684,0.333333,0.092228,0.073292,0.110459,0.051813,0
0.365591,0.342105,0.4,0.136415,0.11677,0.120235,0.07772,0
0.408602,0.434211,0.466667,0.206436,0.204969,0.386119,0.103627,0
0.526882,0.578947,0.644444,0.322456,0.255901,0.359726,0.212435,0
0.483871,0.526316,0.422222,0.227056,0.214907,0.255132,0.139896,0
0.677419,0.710526,0.555556,0.371629,0.262526,0.311828,0.284974,0
0.634409,0.631579,0.555556,0.37027,0.280745,0.434995,0.253886,0
0.387097,0.394737,0.511111,0.17811,0.144928,0.1652,0.129534,0
0.548387,0.605263,0.6,0.272377,0.185093,0.213099,0.217617,0
0.494624,0.486842,0.533333,0.230909,0.153623,0.292278,0.165803,0
0.333333,0.5,0.4,0.108543,0.074948,0.13392,0.093264,0
0.462366,0.5,0.488889,0.189214,0.159006,0.205279,0.119171,0
0.397849,0.407895,0.4,0.139134,0.104762,0.151515,0.139896,0
0.333333,0.302632,0.288889,0.094494,0.0853,0.066471,0.067358,0
0.311828,0.381579,0.4,0.121913,0.069979,0.065494,0.129534,0
0.602151,0.592105,0.6,0.343757,0.249275,0.278592,0.279793,0
0.408602,0.421053,0.4,0.134376,0.097308,0.144673,0.103627,0
0.924731,0.881579,0.666667,0.831634,0.597101,0.45259,0.766839,1
0.344086,0.381579,0.488889,0.126671,0.107246,0.065494,0.092228,0
0.139785,0.131579,0.333333,0.03467,0.040166,0,0.023834,0
0.268817,0.315789,0.422222,0.104917,0.087371,0.065494,0.079793,0
0.204301,0.210526,0.355556,0.058464,0.041822,0.054741,0.054404,0
0,0,0.288889,0.00136,0.005383,0.018573,0.002073,0
0.698925,0.776316,0.755556,0.450714,0.350725,0.447703,0.305699,0
0.956989,0.934211,0.866667,0.914117,0.500621,0.72043,1,1
0.655914,0.671053,0.688889,0.366417,0.264596,0.472141,0.259067,0
0.365591,0.368421,0.466667,0.132563,0.099379,0.128055,0.098446,0
0.344086,0.355263,0.555556,0.162248,0.116356,0.154448,0.124352,0
0.258065,0.25,0.422222,0.086562,0.052588,0.073314,0.082902,0
0.473118,0.526316,0.555556,0.222751,0.161905,0.207234,0.170984,0
0.354839,0.315789,0.488889,0.150011,0.110145,0.162268,0.103627,0
0.451613,0.447368,0.6,0.204623,0.144513,0.223851,0.15544,0
0.473118,0.434211,0.533333,0.147745,0.104348,0.148583,0.119171,0
0.032258,0.052632,0.288889,0,0.002484,0.004888,0,0
0.172043,0.184211,0.311111,0.033311,0.024017,0.02346,0.031088,0
0.408602,0.486842,0.6,0.231815,0.143271,0.115347,0.222798,0
0.709677,0.776316,1,0.687967,0.402899,0.596285,0.673575,1
0.376344,0.394737,0.466667,0.147519,0.108903,0.14565,0.11399,0
0.344086,0.394737,0.488889,0.160208,0.071636,0.101662,0.15544,0
0.193548,0.197368,0.4,0.049853,0.037267,0.056696,0.036269,0
0.268817,0.263158,0.355556,0.101745,0.082816,0.117302,0.062176,0
0.645161,0.657895,0.622222,0.32291,0.223188,0.213099,0.290155,1
0.526882,0.565789,0.644444,0.286426,0.189648,0.280547,0.243523,0
0.645161,0.657895,0.688889,0.365284,0.300207,0.44868,0.186528,0
0.784946,0.842105,0.777778,0.763426,0.544928,0.701857,0.367876,1
0.698925,0.75,0.733333,0.499887,0.359834,0.503421,0.321244,1
0.376344,0.434211,0.4,0.167007,0.141201,0.185728,0.098446,0
0.397849,0.447368,0.466667,0.157263,0.14617,0.174976,0.103627,0
0.182796,0.236842,0.355556,0.057104,0.051346,0.048876,0.041451,0
0.44086,0.421053,0.466667,0.210514,0.185921,0.198436,0.139896,0
0.505376,0.657895,0.533333,0.271244,0.206625,0.26002,0.202073,0
0.709677,0.736842,0.666667,0.438477,0.288199,0.418377,0.300518,1
0.634409,0.644737,0.688889,0.418536,0.274948,0.27566,0.357513,1
0.623656,0.644737,0.711111,0.376841,0.277019,0.26784,0.264249,1
0.612903,0.657895,0.688889,0.354634,0.245549,0.247312,0.290155,1
0.236559,0.25,0.333333,0.082257,0.080745,0.068426,0.046632,0
0.602151,0.657895,0.777778,0.267392,0.196687,0.194526,0.243523,0
0.612903,0.657895,0.6,0.315658,0.264596,0.253177,0.227979,1
0.172043,0.197368,0.4,0.03399,0.019876,0.030303,0.041451,0
0.537634,0.618421,0.533333,0.29889,0.221532,0.277615,0.184974,0
0.322581,0.355263,0.466667,0.105824,0.087371,0.068426,0.066839,0
0.397849,0.381579,0.444444,0.134602,0.091925,0.120235,0.097927,0
0.258065,0.223684,0.444444,0.070474,0.054658,0.054741,0.036269,0
0.182796,0.144737,0.444444,0.042601,0.039752,0.029326,0.031088,0
0.225806,0.25,0.355556,0.052572,0.035611,0.057674,0.046632,0
0.333333,0.342105,0.422222,0.116021,0.102692,0.110459,0.072539,0
0.44086,0.486842,0.488889,0.211647,0.2,0.217986,0.082902,0
0.193548,0.223684,0.444444,0.057104,0.054244,0.053763,0.036269,0
0.526882,0.539474,0.711111,0.339905,0.259213,0.347019,0.170984,1
0.580645,0.592105,0.555556,0.267165,0.174741,0.305963,0.19171,0
0.139785,0.171053,0.333333,0.032178,0.026915,0.031281,0.019689,0
0.096774,0.092105,0.266667,0.014049,0.001656,0.01173,0.020725,0
0.462366,0.434211,0.488889,0.160208,0.115528,0.080156,0.133679,1
0.064516,0.052632,0.266667,0.002493,0,0.00782,0.004145,0
0.44086,0.460526,0.555556,0.24881,0.142443,0.196481,0.160622,1
0.419355,0.421053,0.444444,0.165874,0.146998,0.183773,0.096891,0
0.408602,0.407895,0.511111,0.180603,0.126294,0.150538,0.129534,0
0.172043,0.236842,0.377778,0.039202,0.016977,0.044966,0.036269,0
0.365591,0.355263,0.511111,0.112169,0.095238,0.097752,0.067358,0
0.430108,0.447368,0.577778,0.295944,0.141201,0.196481,0.134715,0
0.419355,0.407895,0.488889,0.146386,0.102692,0.100684,0.103627,0
0.645161,0.75,0.8,0.540449,0.401656,0.438905,0.38342,1
0.795699,0.842105,0.733333,0.680716,0.456729,0.615836,0.507772,1
0.215054,0.223684,0.466667,0.07206,0.059627,0.070381,0.046632,0
0.354839,0.328947,0.4,0.148878,0.111387,0.143695,0.08601,0
0.258065,0.25,0.488889,0.132789,0.120497,0.11828,0.080311,0
